date,act_symbol,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-02-19,XOP,2020-04-03,18.5,1.17,1.2,0.3246,0.6338,0.1739,-0.0089,0.0249,0.0132,1.185,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,57.67596773089375,0.24250647779969017,57.67596773089375,57.67596773089375,58.24596773089375,1.185,0.5700000000000001
2020-02-19,XOP,2020-04-03,19.0,0.88,0.91,0.3179,0.5422,0.1874,-0.0093,0.0262,0.0114,0.895,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,57.17692516919812,0.2490607069294115,57.17692516919812,57.17692516919812,57.95692516919812,0.895,0.78
2020-02-19,XOP,2020-04-03,19.5,0.64,0.69,0.3163,0.4483,0.1879,-0.0092,0.0262,0.0095,0.665,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,56.67788260750248,0.2556149360591329,56.67788260750248,56.67788260750248,57.72788260750248,0.665,1.05
2020-02-19,XOP,2020-04-03,20.0,0.45,0.49,0.3106,0.3561,0.1804,-0.0086,0.0247,0.0076,0.47,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,56.178840045806844,0.26216916518885425,56.178840045806844,56.178840045806844,57.54884004580684,0.47,1.37
2020-02-19,XOP,2020-04-03,20.5,0.31,0.35,0.3101,0.2747,0.1618,-0.0077,0.0221,0.0059,0.32999999999999996,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,55.67979748411121,0.2687233943185756,55.67979748411121,55.67979748411121,57.404797484111214,0.32999999999999996,1.725
2020-02-19,XOP,2020-04-03,21.0,0.2,0.24,0.3067,0.2026,0.1384,-0.0064,0.0187,0.0044,0.22,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,55.180754922415574,0.2752776234482969,55.180754922415574,55.180754922415574,57.30075492241557,0.22,2.12
2020-02-19,XOP,2020-04-03,22.0,0.08,0.12,0.3111,0.1057,0.0884,-0.0042,0.0121,0.0023,0.1,44,0.12054794520547946,76.5199966430664,0.0159,0.9980851233912721,0.3794541294341214,76.28662198162377,0,0.0,0.0,54.1826697990243,0.28838608170773966,54.1826697990243,54.1826697990243,57.132669799024306,0.1,2.95
2020-02-21,XOP,2020-03-06,16.0,2.7,2.95,0.4232,0.977,0.035,-0.0037,0.002,0.006,2.825,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,59.20969044903814,0.21263706313990507,59.20969044903814,59.20969044903814,59.23469044903814,2.825,0.025
2020-02-21,XOP,2020-03-06,17.0,1.73,2.05,0.4232,0.8969,0.1152,-0.0107,0.0066,0.0057,1.89,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,58.21029629283789,0.22592687958614913,58.21029629283789,58.21029629283789,58.28029629283789,1.89,0.07
2020-02-21,XOP,2020-03-06,17.5,1.41,1.46,0.3861,0.8399,0.1713,-0.013,0.009,0.0055,1.435,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,57.71059921473776,0.23257178780927118,57.71059921473776,57.71059921473776,57.84559921473776,1.435,0.135
