date,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-03-02,2020-03-30,287.0,23.11,24.53,0.3804,0.7368,0.0099,-0.1447,0.2733,0.155,23.82,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,23.82,0.9316348226063895,21.034946331015888,23.82,26.044946331015886,23.82,5.01
2020-03-02,2020-03-30,297.0,15.84,16.06,0.3362,0.6335,0.013,-0.1552,0.3168,0.1368,15.95,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,15.95,0.9640959662512115,11.047136155655403,15.95,18.302136155655404,15.95,7.255
2020-03-02,2020-03-30,303.0,11.51,11.72,0.3068,0.5527,0.0151,-0.1524,0.3336,0.1211,11.615,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,11.615,0.9835726524381047,5.0544500504391126,11.615,14.064450050439113,11.615,9.01
2020-03-02,2020-03-30,309.0,7.63,7.82,0.2759,0.4538,0.0168,-0.1402,0.335,0.1008,7.725,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,7.725,1.003049338624998,0.0,7.725,10.126763945222821,7.725,11.065
2020-03-02,2020-03-30,315.0,4.4,4.55,0.2444,0.3364,0.0175,-0.1165,0.309,0.0757,4.475,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,4.475,1.022526024811891,0.0,4.475,6.934077840006532,4.475,13.865
2020-03-02,2020-03-30,321.0,2.06,2.18,0.2148,0.2105,0.0158,-0.0824,0.2447,0.0479,2.12,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,2.12,1.0420027109987842,0.0,2.12,4.646391734790242,2.12,17.57
2020-03-02,2020-03-30,331.0,0.38,0.44,0.1848,0.0615,0.0077,-0.0307,0.1031,0.0142,0.41000000000000003,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,0.41000000000000003,1.074463854643606,0.0,0.41000000000000003,3.1635815594297547,0.41000000000000003,26.075
2020-03-02,2020-03-30,340.0,0.1,0.15,0.1884,0.0214,0.0032,-0.0135,0.0436,0.0049,0.125,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,0.125,1.1036788839239458,0.0,0.125,2.894552401605324,0.125,34.795
2020-03-02,2020-03-30,355.0,0.0,0.05,0.2892,0.0331,0.003,-0.0306,0.0627,0.0076,0.025,28,0.07671232876712329,309.0899963378906,0.0159,0.9987810175360484,1.4048979740288368,308.0606188560814,3,0.0,0.0,0.025,1.1523705993911788,0.0,0.025,2.8228371385645943,0.025,49.705
2020-03-02,2020-04-17,263.0,45.32,46.36,0.4172,0.8553,0.0048,-0.0777,0.2393,0.273,45.84,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,45.84,0.8530589238658499,45.21157946402767,45.84,48.17157946402767,45.84,2.96
2020-03-02,2020-04-17,278.0,32.31,33.15,0.3696,0.7784,0.0072,-0.0998,0.3171,0.2597,32.730000000000004,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,32.730000000000004,0.9017124746566778,30.24160690320063,32.730000000000004,35.28160690320063,32.730000000000004,5.04
2020-03-02,2020-04-17,287.0,25.03,25.72,0.3412,0.713,0.009,-0.1105,0.3655,0.2437,25.375,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,25.375,0.9309046051311747,21.259623366704407,25.375,28.029623366704406,25.375,6.77
2020-03-02,2020-04-17,297.0,17.74,17.88,0.3085,0.6186,0.0112,-0.1163,0.411,0.2167,17.81,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,17.81,0.9633403056583932,11.279641659486378,17.81,20.48464165948638,17.81,9.205
2020-03-02,2020-04-17,303.0,13.56,13.67,0.2866,0.5488,0.0126,-0.1143,0.4279,0.195,13.615,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,13.615,0.9828017259747245,5.291652635155562,13.615,16.32665263515556,13.615,11.035
2020-03-02,2020-04-17,309.0,9.74,9.84,0.2637,0.4671,0.0137,-0.1073,0.4305,0.1683,9.79,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,9.79,1.0022631462910556,0.0,9.79,12.448663610824745,9.79,13.145
2020-03-02,2020-04-17,315.0,6.41,6.5,0.24,0.3733,0.0144,-0.0943,0.4106,0.1362,6.455,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,6.455,1.0217245666073869,0.0,6.455,9.12067458649393,6.455,15.805
2020-03-02,2020-04-17,321.0,3.72,3.78,0.2159,0.2701,0.014,-0.0751,0.3591,0.0997,3.75,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,3.75,1.0411859869237179,0.0,3.75,6.542685562163113,3.75,19.215
2020-03-02,2020-04-17,331.0,1.07,1.14,0.1843,0.1157,0.0097,-0.0385,0.212,0.0434,1.105,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,1.105,1.0736216874509366,0.0,1.105,4.007703854945085,1.105,26.66
2020-03-02,2020-04-17,340.0,0.35,0.37,0.1763,0.0464,0.005,-0.0187,0.1057,0.0175,0.36,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,0.36,1.1028138179254334,0.0,0.36,3.340720318448863,0.36,34.975
2020-03-02,2020-04-17,355.0,0.08,0.11,0.1886,0.0135,0.0017,-0.0073,0.0376,0.0051,0.095,46,0.12602739726027398,309.0899963378906,0.0159,0.9979981707218027,1.4048979740288368,308.30226686821317,3,0.0,0.0,0.095,1.1514673687162613,0.0,0.095,3.150747757621822,0.095,49.755
2020-03-04,2020-03-18,265.0,47.06,47.67,0.5282,0.9472,0.0033,-0.1251,0.0653,0.0947,47.365,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,47.984977782536475,0.8466247521918935,47.984977782536475,47.984977782536475,48.67497778253647,47.365,0.69
2020-03-04,2020-03-18,282.0,31.05,31.55,0.4501,0.8806,0.0072,-0.1973,0.1211,0.093,31.3,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,31.3,0.9009365287475999,30.99299616490084,31.3,32.60799616490084,31.3,1.615
