date,symbol,expiration,tau,bucket,strike,C_mid,sigma_mkt_b76,F,DF,r,moneyness_F,price_BS,price_JD,price_SV
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,297.0,17.81,0.2639270186675713,308.3022668682132,0.9979981707218027,0.015899999999999918,0.9633403056583931,16.48408823456201,17.765758497519066,17.57460150512391
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,303.0,13.615,0.24921800411026926,308.3022668682132,0.9979981707218027,0.015899999999999918,0.9828017259747243,12.799858021762866,13.591816460324054,13.460991380675017
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,309.0,9.79,0.23236970987971875,308.3022668682132,0.9979981707218027,0.015899999999999918,1.0022631462910554,9.683878835372667,9.761119287615498,9.732703308807027
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,315.0,6.455,0.21396237558778378,308.3022668682132,0.9979981707218027,0.015899999999999918,1.0217245666073866,7.132261223701055,6.4180784387004515,6.552214466798196
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,321.0,3.75,0.19454833898004145,308.3022668682132,0.9979981707218027,0.015899999999999918,1.0411859869237177,5.110918185590392,3.7660649388241905,3.966075904514968
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,331.0,1.105,0.16885112059041857,308.3022668682132,0.9979981707218027,0.015899999999999918,1.0736216874509363,2.7576949337025445,1.1558613287641206,1.1060086956268245
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,340.0,0.36,0.1639799073504284,308.3022668682132,0.9979981707218027,0.015899999999999918,1.1028138179254332,1.4821477783482484,0.3068435985079418,0.22076785123156772
2020-03-02,SPY,2020-04-17,0.12602739726027398,56d,355.0,0.095,0.1785056971689686,308.3022668682132,0.9979981707218027,0.015899999999999918,1.151467368716261,0.46013457344387254,0.035231889097394456,-0.013050596061349708
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,265.0,47.98497778253648,0.07822343749999999,313.007621515814,0.9995283304491548,0.012300000000004169,0.8466247521918935,47.986806346727555,48.10073525851978,48.10397039175668
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,282.0,31.3,0.3084400691999122,313.007621515814,0.9995283304491548,0.012300000000004169,0.9009365287475999,31.09834871555644,31.56331202302412,31.58079501721055
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,291.0,23.195,0.32455805350039146,313.007621515814,0.9995283304491548,0.012300000000004169,0.9296898222182679,22.500535082372902,23.31434814899665,23.25665049309412
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,300.0,15.64,0.3088392819503323,313.007621515814,0.9995283304491548,0.012300000000004169,0.958443115688936,14.724085629148847,15.624079584296794,15.514581025601506
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,307.0,10.3,0.2844357658142224,313.007621515814,0.9995283304491548,0.012300000000004169,0.9808067883883446,9.688448150947698,10.162874623749733,10.154977807597641
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,313.0,6.324999999999999,0.2586264277422802,313.007621515814,0.9995283304491548,0.012300000000004169,0.9999756507021232,6.295464153333358,6.180426293033885,6.336881344710095
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,319.0,3.21,0.23149169514346868,313.007621515814,0.9995283304491548,0.012300000000004169,1.019144513015902,3.8012172460772313,3.2116737109359765,3.2668160662050663
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,325.0,1.225,0.20644971427265554,313.007621515814,0.9995283304491548,0.012300000000004169,1.0383133753296807,2.1231802100161463,1.383430116722293,1.260981515579311
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,335.0,0.185,0.19472409466113896,313.007621515814,0.9995283304491548,0.012300000000004169,1.0702614791859786,0.6716933046523601,0.2121480514708593,0.1951865781885628
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,344.0,0.05,0.20998870652783663,313.007621515814,0.9995283304491548,0.012300000000004169,1.0990147726566466,0.1960838015793737,0.02298098315839738,-0.019601179408789977
2020-03-04,SPY,2020-03-18,0.038356164383561646,14d,360.0,0.01,0.24928355859518053,313.007621515814,0.9995283304491548,0.012300000000004169,1.1501317388267231,0.014015756823296454,0.00012587579529733036,0.030938715430330645
